Sample	Decade	Wheat cultivar	Crude_protein_mg_g	Crude_protein_mg_g.var	Albumins-globulins_mg_g	Albumins-globulins_mg_g.var	Gliadins_mg_g	Gliadins_mg_g.var	Glutenins_mg_g	Glutenins_mg_g.var	Gluten_mg_g	Gluten_mg_g.var	Gliadin_Glutenin_ratio	omega5-gliadins	omega5-gliadins.var	omega1-2-gliadins	omega1-2-gliadins.var	alpha-gliadins	alpha-gliadins.var	gamma-gliadins_mg_g	gamma-gliadins_mg_g.var	omega-b-gliadins_mg_g	omega-b-gliadins_mg_g.var	HMW-GS	HMW-GS.var	LMW-GS	LMW-GS.var
11	1911-1920	Lembkes Obotriten Weizen	123.5	0	18.6	0.2	55.8	1.9	19.4	1.2	75.2	1.7	2.9	3.7	0.1	5	0.2	20.3	0.7	26.9	0.6	1	0	4	0.3	14.4	0.9
12	1911-1920	Heinrichs von Hindenburg	113.4	0.1	21.1	0.3	43.3	0.1	19.8	0.4	63.1	0.5	2.2	2	0	2.6	0	20.1	0.1	18.6	0.1	0.6	0	3.7	0.1	15.4	0.3
13	1911-1920	Friedrichswerther Berggoldweizen	95.5	0	18.3	0.4	36.9	0.7	14.4	0.4	51.3	1.1	2.6	1.3	0	2.9	0.1	15.8	0.6	16.9	0.1	0.4	0	2.9	0.1	11	0.3
14	1911-1920	Stadlers Brauner Dickkopf	105.8	0.1	15.7	0.5	47.5	0.3	15	0.6	62.5	0.7	3.2	1.2	0	4.5	0	22	0.2	19.8	0.2	0.4	0	3.6	0.1	11	0.5
15	1911-1920	Strubes General von Stöcken	111.8	0.2	18.6	0.2	50	0.1	15.8	0.3	65.8	0.1	3.2	2.1	0	3.6	0	18.9	0.5	25.4	0.4	0.5	0	3.4	0.1	11.9	0.2
16	1921-1930	Mettes Quedlinburger Schloss	83.2	0.1	16.4	0.3	31.2	0.5	17.1	0.1	48.3	0.4	1.8	1.6	0	1.8	0	14.5	0.1	13.3	0.3	0.5	0	3	0.1	13.5	0.1
17	1921-1930	Passendorfer Goldweizen	107.2	0.1	18.8	0.1	48.7	0.6	12.8	0.4	61.4	0.7	3.8	1.8	0	2.6	0	23.8	0.3	20.5	0.3	0.5	0	2.4	0.1	9.9	0.3
18	1921-1930	Heges Basalt	112.6	0.3	14.6	0.4	46.7	1.2	16.9	0.5	63.7	1.1	2.8	2.6	0	3.9	0	22.5	0.5	17.8	0.6	0.7	0	3.7	0.1	12.5	0.4
19	1921-1930	Salzmünder Ella	99.4	0.1	16.5	0.7	41.1	0.8	15.9	0.1	57	0.7	2.6	1.4	0	2.7	0	18.2	0.3	18.8	0.4	0.5	0	3.2	0.1	12.2	0.1
20	1921-1930	Ackermanns Jubel	94.5	0.7	15.4	0.5	32.9	0.2	14.6	0.5	47.4	0.5	2.3	1.4	0	2.4	0	14.8	0.1	14.2	0.2	0.5	0	3.4	0.1	10.6	0.4
21	1931-1940	Heines II	104	0.3	14.9	0.3	38.9	0.4	16.1	0.4	55	0.3	2.4	2.2	0	2.5	0	18.3	0.1	15.8	0.2	0.5	0	4	0.1	11.6	0.3
22	1931-1940	Poernbacher Graf Toerring	96.2	0.3	14.7	0.1	34.8	0.6	18.8	0.3	53.6	0.8	1.9	1.7	0	2.5	0	16.7	0.2	14	0.3	0.7	0	4	0.1	14	0.2
23	1931-1940	Grundmanns Wotan	113.8	0	15.8	0.2	49.9	1	14	0.3	63.9	1.1	3.6	2.1	0	3.6	0	20.1	0.4	24.1	0.5	0.5	0	2.9	0.1	10.6	0.2
24	1931-1940	Nordost Sandomir	123.1	0.2	17.9	0.1	56.6	0.7	19.3	0.3	75.8	0.9	2.9	0.8	0	4.1	0	23.1	0.3	28.6	0.4	0.4	0	4.2	0.1	14.7	0.2
25	1931-1940	Rimpaus Bastard II	97.6	0	16.5	0.3	40.2	0.3	14	0.1	54.2	0.3	2.9	1.4	0	2.1	0	18.6	0.2	18.1	0.1	0.4	0	3	0.1	10.7	0.1
26	1941-1950	Dippes Strum Weizen	106.4	0.1	15.2	0.6	44.6	1.8	15.9	0.7	60.5	2	2.8	1.8	0	2.7	0	17.5	0.4	22.7	1.3	0.5	0	2.9	0.1	12.4	0.6
27	1941-1950	Firlbeck I	80.6	0.2	13.4	0.1	29.5	0.6	16.9	0.3	46.4	0.6	1.8	1.3	0	2.2	0	12.2	0.3	13.8	0.3	0.7	0	3	0.1	13.2	0.3
28	1941-1950	Strengs Marschall	97.6	0.1	14.7	0.2	41.4	0.3	17.4	0.4	58.7	0.5	2.4	3	0	3.6	0	17.9	0.2	16.9	0.1	0.6	0	3.8	0.1	12.9	0.3
29	1941-1950	Erbachshofer Braun	85	0.1	14.4	0.6	35.8	0.3	14.5	0.2	50.3	0.1	2.5	0.9	0	2.5	0	16.8	0.1	15.6	0.2	0.3	0	3.4	0.1	10.8	0.1
30	1941-1950	Walz Oberrheinperle	121.1	0	17.4	0.2	57.7	1.4	14.9	0.4	72.5	0.9	3.9	3.2	0	4.5	0	26	0.4	24	0.8	0.7	0	3.2	0.1	11	0.3
31	1951-1960	Heines VII	93.7	0.3	14.7	0.1	41.9	0.3	8.8	0.2	50.7	0.3	4.8	3.2	0	2.6	0	19.4	0.1	16.7	0.2	0.5	0	1.7	0.1	6.7	0.1
32	1951-1960	Carstacht	103.3	0.3	15.5	0.1	43.5	0.6	18	0.8	61.5	0.8	2.4	1.6	0	3	0	19.6	0.2	19.3	0.4	0.7	0	3.9	0.2	13.4	0.6
33	1951-1960	Fanal	100.2	0	15.1	0.3	43.5	0.2	13.3	0.4	56.8	0.3	3.3	3.4	0	2.7	0	19.7	0.1	17.9	0.2	0.6	0	2.5	0.1	10.1	0.3
34	1951-1960	Merlin	80	0.1	13.2	0.2	29.9	0.7	13.1	0.4	43	0.6	2.3	2.2	0	1.8	0	14.3	0.3	11.5	0.4	0.6	0	2.6	0.1	10	0.3
35	1951-1960	Hadmerslebener Qualitas	84.6	0.1	14.3	0.7	34.9	0.1	14.6	0.4	49.5	0.4	2.4	0.9	0	3.3	0	15.9	0.1	14.8	0.1	0.3	0	3.8	0.1	10.5	0.3
36	1961-1970	Jubilar	95.3	0.1	14.9	0.2	41.1	0.4	14.6	0.7	55.7	0.5	2.8	2	0	2.7	0	19.3	0.2	17.1	0.2	0.7	0	3.2	0.1	10.7	0.5
37	1961-1970	Format	118.6	0.1	15.3	0.8	52.7	0.3	26.1	0.1	78.8	0.3	2	3.4	0	5	0	21.5	0.3	22.8	0.1	1	0	6.6	0.1	18.5	0.1
38	1961-1970	Konsul	113.2	0.2	18	0.6	49.8	0.3	17.5	0.5	67.3	0.5	2.8	2.3	0	4.2	0	22.5	0.1	20.8	0.2	0.6	0	4	0.1	12.9	0.4
39	1961-1970	Poros	98	0.2	16	0.3	38.3	0.5	14.8	0.6	53.1	0.8	2.6	1.4	0	2.5	0	17	0.2	17.4	0.3	0.4	0	3.3	0.1	11	0.5
40	1961-1970	Pilot	88.1	0.2	16	0.6	33.7	0.3	13.7	0.4	47.4	0.1	2.5	1	0	2.6	0	14.8	0.3	15.3	0.1	0.4	0	3.1	0.1	10.3	0.3
41	1971-1980	Caribo	97.5	0.1	15.4	0.4	39.7	0.5	19.1	0.2	58.8	0.5	2.1	1.7	0	3.6	0	18.2	0.2	16.2	0.2	0.7	0	4.4	0.1	14.1	0.1
42	1971-1980	Diplomat	86.8	0.2	14.2	0.2	43.8	0.1	18.6	0.4	48.9	0.3	1.6	1.9	0	3	0	11.4	0.1	14.1	0.1	0.7	0	4.5	0.1	13.3	0.3
43	1971-1980	Kormoran	115.8	0.2	16.1	0.5	43.8	0.5	24.4	0.3	68.2	0.7	1.8	3.7	0	4.3	0	16.4	0.2	19.4	0.2	0.7	0	5.6	0.1	18.1	0.2
44	1971-1980	Alcedo	113.3	0.1	18.6	0.5	54.1	0.4	12.5	0.1	66.6	0.3	4.3	2.2	0	5.4	0	22.4	0.1	24.2	0.3	0.5	0	2.7	0.1	9.3	0.1
45	1971-1980	Vuka	104.4	0.1	17.4	0.8	41.5	0.5	18	0.1	58.8	0.4	2.4	1.4	0	2.4	0	19.8	0.3	17.9	0.2	0.6	0	4.2	0.1	12.5	0.1
46	1981-1990	Kanzler	79.1	0	14.6	0.5	27.5	0.5	18	0.1	45.4	0.6	1.5	1	0	1.7	0	11.7	0.1	13.2	0.3	0.6	0	3.8	0.1	13.6	0.1
47	1981-1990	Ares	86.5	0.2	13.7	0.3	32.7	0.8	19.3	0.5	52	0.4	1.7	2.9	0	2.6	0	14	0.3	13.1	0.4	0.7	0	4.1	0.1	14.5	0.4
48	1981-1990	Rektor	126.5	0.2	17.4	0.6	55.5	0.6	24.7	0.1	80.2	0.6	2.2	3.3	0	4.2	0	25.9	0.2	22.1	0.4	0.9	0	5.6	0.1	18.2	0.1
49	1981-1990	Okapi	84.2	0.3	14.7	0.2	30.3	0.4	18.2	0.2	48.6	0.4	1.7	1.3	0	2.2	0	13.5	0.2	13.4	0.2	0.7	0	3.7	0.1	13.8	0.2
50	1981-1990	Miras	92.1	0.2	14.6	0.3	35.6	0.4	20.6	0.5	56.2	0.8	1.7	1.8	0	2.7	0	15.1	0.2	15.9	0.2	0.9	0	5	0.1	14.7	0.4
51	1991-2000	Ritmo	94.4	0.1	16.3	0.5	37.1	0.8	17.5	0.6	54.6	0.7	2.1	1.6	0	3.3	0	16.3	0.2	15.9	0.5	0.6	0	3.9	0.1	13	0.5
52	1991-2000	Zentos	83.5	0.1	15.3	0.1	25.7	0.3	19.8	0.3	45.5	0.2	1.3	1.1	0	2	0	10.5	0.1	12.2	0.2	0.7	0	4.3	0.1	14.8	0.2
53	1991-2000	Astron	98	0.1	14.8	0.1	34.7	0.4	27	0.5	61.7	0.9	1.3	2.4	0	2.6	0	15.3	0.2	14.3	0.2	0.9	0	6.2	0.1	19.8	0.4
54	1991-2000	Borenos	98.3	0.3	16.4	0.4	36.5	0.5	21.3	0.1	57.8	0.5	1.7	1.2	0	3.2	0	15.5	0.2	16.6	0.3	0.6	0	4.8	0.1	15.9	0.1
55	1991-2000	Orestis	89.3	0.1	16.5	0.2	33.3	0.4	16	0.2	49.3	0.5	2	1.2	0	2	0	14.3	0.1	15.7	0.2	0.6	0	3.3	0.1	12.1	0.2
56	2001-2010	Akteur	109	0.2	16.2	0.1	41.3	0.5	28.3	0.8	69.6	0.9	1.5	2.7	0	3.2	0	18.8	0.2	16.6	0.2	1	0	6.7	0.2	20.8	0.7
57	2001-2010	Cubus	82.2	0.2	15.3	0.4	26.8	0.6	16.5	0.2	43.4	0.8	1.6	1.4	0	2.3	0	10.5	0.2	12.6	0.4	0.7	0	3.6	0.1	12.3	0.2
58	2001-2010	Dekan	83.4	0.2	15.1	0.7	28.6	0.5	17.3	0.8	45.9	0.9	1.7	1.2	0	2.1	0	12.9	0.3	12.3	0.2	0.8	0	4	0.2	12.5	0.6
59	2001-2010	Drifter	83.8	0.1	16.6	0.3	31.1	0.4	13.5	0.2	44.6	0.5	2.3	1.2	0	3.2	0	12.3	0.2	14.3	0.2	0.5	0	3.2	0.1	9.8	0.1
60	2001-2010	Tommi	73.9	0.1	14.8	0.2	24.6	0.3	14.6	0.4	39.1	0.1	1.7	1.2	0	2.1	0	10.4	0.1	10.8	0.1	0.6	0	3.3	0.1	10.6	0.3

