Sample	Decade	Wheat cultivar	Crude_protein_mg_g	Crude_protein_mg_g.var	Albumins-globulins_mg_g	Albumins-globulins_mg_g.var	Gliadins_mg_g	Gliadins_mg_g.var	Glutenins_mg_g	Glutenins_mg_g.var	Gluten_mg_g	Gluten_mg_g.var	Gliadin_Glutenin_ratio	omega5-gliadins	omega5-gliadins.var	omega1-2-gliadins	omega1-2-gliadins.var	alpha-gliadins	alpha-gliadins.var	gamma-gliadins_mg_g	gamma-gliadins_mg_g.var	omega-b-gliadins_mg_g	omega-b-gliadins_mg_g.var	HMW-GS	HMW-GS.var	LMW-GS	LMW-GS.var
1	1891-1900	Rimpaus Früher Bastard	111	0.1	19.7	0.5	45.4	0.6	18.2	1.2	63.6	1.2	2.5	2.4	0	2.5	0	19.3	0.3	21.2	0.4	0.7	0	4.1	0.2	13.4	1
2	1891-1900	Rimpaus Dickkopf	112.4	0.2	18.2	0.1	52.7	0.9	17.1	0.6	69.8	0.9	3.1	2.3	0.1	3.2	0	23.4	0.4	23.7	0.4	0.7	0	3.8	0.1	12.7	0.4
3	1891-1900	Strubes Dickkopf	108.2	0	19.3	0.8	54	0.9	10.8	0.4	64.8	0.7	5	2.4	0	4	0	21.6	0.3	26	0.6	0.5	0	1.9	0.1	8.4	0.3
4	1891-1900	Cimbals Großherzog von Sachsen	126.3	0.1	18.6	0.4	67.9	0.2	14.5	0.7	82.5	0.6	4.7	5.7	0	6.2	0	30.3	0.1	25.7	0.1	0.8	0	2.8	0.1	11	0.6
5	1891-1900	Steigers Leutewitzer Dickkopf	100.6	0.8	16.3	0.4	37.3	0.6	15.7	0.3	53.1	0.4	2.4	1	0	2.1	0	16.5	0.2	17.7	0.4	0.4	0	3.9	0.1	11.4	0.2
6	1901-1910	Breustedts Extra Dickkopf	95.4	0.1	17	0.5	44.4	0.4	12.5	0.4	56.9	0.7	3.6	2.3	0	3.1	0	18	0.1	21.3	0.3	0.5	0	1.8	0.1	10.1	0.3
7	1901-1910	Janetzkis Früher Kreuzung	127.4	0.1	17.9	0.2	61.5	0.3	20.7	1.3	82.1	1.4	3	3.5	0	3.1	0	27.6	0.5	27.2	0.4	0.9	0	4.3	0.1	15.8	1.3
8	1901-1910	Kraffts Siegerländer	139.7	0	19.6	0.4	63.6	0.7	24.6	0.4	88.3	0.3	2.6	4.3	0.3	6	0.3	29.3	0.2	21.1	1	0.7	0	6.1	0.1	17.9	0.3
9	1901-1910	Ruppiner Brauner Landweizen	98.6	0.1	16.7	0.3	42.7	1.7	14	0.4	56.7	1.4	3	2	0.2	3.6	0.2	19.7	0.4	17.4	1	0.5	0	2.9	0.1	10.7	0.3
10	1901-1910	Ackermanns Brauner Dickkopf	106.7	0.1	16.5	0.8	44.9	1.1	17.8	0.5	62.7	1.3	2.5	1.2	0	3.5	0	19.5	0.3	20.8	0.7	0.4	0	4.3	0.1	13.1	0.4
