Sample	Decade	Wheat cultivar	Crude_protein_mg_g	Crude_protein_mg_g.var	Albumins-globulins_mg_g	Albumins-globulins_mg_g.var	Gliadins_mg_g	Gliadins_mg_g.var	Glutenins_mg_g	Glutenins_mg_g.var	Gluten_mg_g	Gluten_mg_g.var	Gliadin_Glutenin_ratio	omega5-gliadins	omega5-gliadins.var	omega1-2-gliadins	omega1-2-gliadins.var	alpha-gliadins	alpha-gliadins.var	gamma-gliadins_mg_g	gamma-gliadins_mg_g.var	omega-b-gliadins_mg_g	omega-b-gliadins_mg_g.var	HMW-GS	HMW-GS.var	LMW-GS	LMW-GS.var
1	1891-1900	Rimpaus Früher Bastard	97.9	0.6	16.2	0.2	43.1	0.4	20.2	0.6	63.3	0.4	2.1	2	0	2.7	0	22.1	0.2	16.2	0.3	0.6	0	5.9	0.1	13.7	0.4
2	1891-1900	Rimpaus Dickkopf	105.8	1.5	13.6	0.9	47.7	0.4	20.8	1.1	68.5	1.3	2.3	2.1	0	3.9	0	24.7	0.2	16.9	0.3	0.8	0	5.8	0.3	14.2	0.7
3	1891-1900	Strubes Dickkopf	85.5	2.2	15.3	0.1	39.9	0.4	14.9	0.3	54.8	0.7	2.7	1.1	0	3.3	0	18.4	0.2	17.1	0.2	0.6	0	3.8	0.1	10.5	0.2
4	1891-1900	Cimbals Großherzog von Sachsen	84.4	1.7	14.8	0.6	36.6	0.4	18.3	0.2	55	0.3	2	2.2	0	3.7	0	17.7	0.2	13	0.2	0.7	0	5.3	0.1	12.3	0.1
5	1891-1900	Steigers Leutewitzer Dickkopf	74.4	1.2	13.9	0.4	31.2	0.5	14.2	0.6	45.4	0.7	2.2	1	0	2.1	0	15	0.2	13.1	0.2	0.5	0	3.7	0.2	9.9	0.4
6	1901-1910	Breustedts Extra Dickkopf	103.2	1.8	16.2	0.3	47.8	0.7	20	0.5	67.8	0.3	2.4	2	0	3.9	0	22.1	0.4	19.8	0.3	0.8	0	4.6	0.1	14.6	0.4
7	1901-1910	Janetzkis Früher Kreuzung	100.3	2	15.3	0.2	46.6	0.9	19.3	0.1	65.9	0.8	2.4	2.1	0	2.7	0	23.6	0.4	18.3	0.4	0.8	0	5.1	0.1	13.4	0.1
8	1901-1910	Kraffts Siegerländer	80.2	0.6	15.2	0.6	42.9	1.8	16.9	0.6	59.9	1.1	2.5	1.9	0	3.9	0.1	21.3	0.9	15.7	0.7	0.8	0	4.5	0.1	11.6	0.6
9	1901-1910	Ruppiner Brauner Landweizen	77.4	0.6	16.2	0.3	44.5	1.3	14	0.8	58.6	0.5	3.2	1.3	0	4	0	21.5	0.5	17.7	0.6	0.5	0.1	3.3	0.1	10.2	0.5
10	1901-1910	Ackermanns Brauner Dickkopf	86.9	0.7	17.2	0.3	46.6	0.2	20.2	0.6	66.9	0.7	2.3	1.5	0	4.2	0	21.6	0.1	19.4	0.3	0.7	0	5.4	0.1	14.1	0.5
11	1911-1920	Lembkes Obotriten Weizen	93.2	0.3	17	0.6	48.3	2	23.2	1	71.4	2.9	2.1	2.5	0	5.3	0.2	18.5	0.8	22.5	1	1.1	0	6.2	0.2	15.8	0.7
12	1911-1920	Heinrichs von Hindenburg	65.1	1.3	16.4	0.1	31.9	0.6	14.6	0.6	46.4	1.1	2.2	1.2	0	2.3	0	15.7	0.3	12.7	0.2	0.5	0.1	3.1	0.1	10.9	0.4
13	1911-1920	Friedrichswerther Berggoldweizen	79.4	1.2	16.1	0.5	43	1.3	16.8	1.2	59.8	1.5	2.6	1.1	0	4	0.1	19.8	0.6	18.1	0.5	0.6	0	4.2	0.3	12	0.9
14	1911-1920	Stadlers Brauner Dickkopf	86.1	0.2	16.8	0.6	49.1	0.8	15.7	0.6	64.7	0.6	3.1	1.3	0	4.8	0.1	23.3	0.4	19.7	0.4	0.6	0	3.9	0.1	11.2	0.4
15	1911-1920	Strubes General von Stöcken	80.2	0.4	16.3	0.3	45.4	0.9	14.7	0.9	60.1	0.4	3.1	1.5	0	3.9	0.1	18.7	0.4	21.3	0.3	0.7	0	3.7	0.3	10.3	0.6
16	1921-1930	Mettes Quedlinburger Schloss	71.4	0.9	15	0.7	32.5	0.7	17.5	0.5	50.1	0.6	1.9	2	0.1	2.5	0	16.3	0.4	11.7	0.2	0.6	0	4.2	0.1	12.7	0.4
17	1921-1930	Passendorfer Goldweizen	74.2	1.2	12.9	0.1	39.1	0.6	13.5	0.3	52.6	0.5	2.9	1.8	0.2	2.7	0.2	20.8	0.2	13.8	0.2	0.6	0	3.4	0.1	9.4	0.2
18	1921-1930	Heges Basalt	83.2	0.1	14.1	0.9	41.3	0.8	15.3	1.1	56.6	0.7	2.7	2.1	0.3	3.3	0.1	20.9	0.3	15	0.1	0.6	0.1	3.6	0.4	11.1	0.6
19	1921-1930	Salzmünder Ella	87.3	0.3	15	0.2	46.3	0.6	15.8	0.5	62.1	0.2	2.9	2.1	0.2	3.4	0	22.2	0.1	18.6	0.4	0.7	0	3.4	0.1	11.6	0.4
20	1921-1930	Ackermanns Jubel	73.1	0.7	14.9	0.2	43.2	0.4	11.1	0.5	45.3	0.1	3.1	1.6	0.1	2.6	0	16.5	0.2	13.5	0.3	0.6	0	3	0.1	7.5	0.4
21	1931-1940	Heines II	71.1	2.8	13.3	0.2	32	0.5	14.6	0.4	46.6	0.1	2.2	1.5	0.1	2	0	15.7	0.4	12.8	0.3	0.6	0	3.9	0.1	10	0.3
22	1931-1940	Poernbacher Graf Toerring	89.8	0.4	14.2	0.3	41.9	1.7	21.3	0.4	63.2	1.2	2	2.1	0.3	3.4	0.2	21.4	0.5	15	0.7	0.9	0	5.8	0.1	14.6	0.3
23	1931-1940	Grundmanns Wotan	88	0.6	14	0.3	46.5	0.5	16	1.2	62.5	1	2.9	2.4	0.2	4.1	0	19.8	0.1	20.3	0.6	0.8	0	4	0.3	11.1	0.9
24	1931-1940	Nordost Sandomir	84.3	0.7	13.9	0.5	35.7	0.2	14.2	0.3	49.9	0.3	2.5	0.5	0	2.6	0	16.2	0.1	16.3	0.1	0.5	0	3.6	0.1	10.2	0.2
25	1931-1940	Rimpaus Bastard II	75.8	0.6	13.9	0.2	33	0.6	14.3	0.3	47.3	0.9	2.3	1.5	0.2	1.9	0.1	15.8	0.3	13.9	0.4	0.4	0	3.7	0.1	10.2	0.2
26	1941-1950	Dippes Strum Weizen	91.2	0.6	14	0.4	45.5	0.6	16.2	0.4	61.7	0.5	2.8	2.1	0	3.7	0	19	0.2	20.7	0.4	0.7	0	3.9	0.1	11.6	0.3
27	1941-1950	Firlbeck I	99.4	1.9	13.7	0.5	47.6	0.3	22.4	0.3	70	0.3	2.1	2.7	0	5	0	20.4	0.1	19.4	0.3	0.8	0	5.9	0.1	15.7	0.2
28	1941-1950	Strengs Marschall	86.2	1.2	13	0.1	40.9	0.2	19.3	0.4	60.2	0.6	2.1	2.8	0	4.1	0	18.3	0.8	15.7	0.1	0.6	0	5.6	0.1	13.2	0.3
