Sample	Decade	Wheat cultivar	Crude_protein_mg_g	Crude_protein_mg_g.var	Albumins-globulins_mg_g	Albumins-globulins_mg_g.var	Gliadins_mg_g	Gliadins_mg_g.var	Glutenins_mg_g	Glutenins_mg_g.var	Gluten_mg_g	Gluten_mg_g.var	Gliadin_Glutenin_ratio	omega5-gliadins	omega5-gliadins.var	omega1-2-gliadins	omega1-2-gliadins.var	alpha-gliadins	alpha-gliadins.var	gamma-gliadins_mg_g	gamma-gliadins_mg_g.var	omega-b-gliadins_mg_g	omega-b-gliadins_mg_g.var	HMW-GS	HMW-GS.var	LMW-GS	LMW-GS.var
29	1941-1950	Erbachshofer Braun	78	1	12.5	0.6	32.4	0.3	15.5	0.2	47.9	0.5	2.1	1.2	0	2.8	0	17	0.1	11.3	0.3	0.5	0	4.4	0.1	10.6	0.1
30	1941-1950	Walz Oberrheinperle	98	1	14.1	0.2	48.5	0.1	20.8	0.9	69.3	0.8	2.3	2.6	0	5	0	22.8	0.1	18.1	0.1	0.6	0	6.5	0.2	13.7	0.6
31	1951-1960	Heines VII	86.8	0.7	12.5	0.5	44	0.4	17	0.3	61	0.7	2.6	3.6	0	3.4	0	21.3	0.2	15.7	0.2	0.7	0	4.4	0.1	11.8	0.2
32	1951-1960	Carstacht	75.2	2.2	13.3	0.4	33.2	0.5	13.2	0.4	46.4	0.6	2.5	0.9	0	3.7	0	15.4	0.2	13.2	0.3	0.5	0	4	0.1	8.6	0.2
33	1951-1960	Fanal	60.3	1.9	12.7	0.2	24.2	0.4	9.4	0.3	33.6	0.7	2.6	1.3	0	1.6	0	12	0.2	9.3	0.2	0.4	0	1.8	0.1	7.1	0.2
34	1951-1960	Merlin	77.5	1	12.5	0.4	34.8	0.3	17.2	0.1	52.1	0.3	2	2.8	0	2.6	0	16.3	0.1	13.2	0.1	0.6	0	4.1	0.1	12.5	0.1
35	1951-1960	Hadmerslebener Qualitas	76.6	0.8	12.2	0.2	36.7	0.6	17.2	0.4	53.8	0.3	2.1	1.1	0	4	0	17	0.2	14.6	0.3	0.5	0	5	0.1	11.7	0.4
36	1961-1970	Jubilar	72.6	1.2	11	0.2	33.4	0.1	17.3	0.3	50.7	0.2	2	1.5	0	3	0	16.7	0.1	12.2	0.1	0.7	0	4.6	0.1	12	0.2
37	1961-1970	Format	82.5	1.6	13.2	0.4	37.7	0.1	18.7	0.3	56.5	0.2	2	1.8	0	3.4	0	16.2	0.1	16.3	0.1	0.7	0	4.7	0.1	13.3	0.2
38	1961-1970	Konsul	106.5	0.3	16.8	0.6	49.7	0.6	19.2	0.4	68.9	0.5	2.6	3	0	5.1	0	23.8	0.2	17.7	0.3	0.8	0	5.4	0.1	13	0.3
39	1961-1970	Poros	78.7	0.8	12.9	0.1	36.6	0.4	17	0.3	53.7	0.1	2.1	1.2	0	2.9	0.2	17.7	0.2	14.7	0.1	0.5	0	4.6	0.1	11.9	0.2
40	1961-1970	Pilot	70.6	0.5	12.2	0.2	28.5	0.6	15.5	0.2	44	0.7	1.8	1	0	2.5	0	12.9	0.3	12.1	0.3	0.6	0	3.9	0.1	11	0.1
41	1971-1980	Caribo	78.4	1.5	11.9	0.3	35.2	0.8	21.1	0.2	56.3	0.6	1.7	1.6	0	3.6	0	17	0.4	13.1	0.4	0.8	0	5.6	0.1	14.7	0.1
42	1971-1980	Diplomat	91.2	0.7	12.6	0.2	37.1	1.1	23	0.1	60	1.2	1.6	2.7	0	4.2	0.4	15	0.7	15.2	0.9	0.9	0	6.2	0.1	15.9	0.1
43	1971-1980	Kormoran	87	3.8	12.5	0.3	31.7	0.3	20.9	0.2	52.6	0.4	1.5	2.4	0	3.8	0.1	13.5	0.1	12	0.1	0.6	0	5.2	0.1	15.1	0.2
44	1971-1980	Alcedo	78.9	0.3	12.9	0.2	37.1	0.3	11	0.1	48.1	0.4	3.4	1.6	0	3.9	0	15.7	0.2	15.8	0.2	0.4	0	2.5	0.1	8.1	0.1
45	1971-1980	Vuka	67.4	1.1	12	0.1	24.8	0.4	14	0.2	38.8	0.5	1.8	1.1	0	1.6	0	12	0.1	10.1	0.2	0.6	0	3.2	0.1	10.3	0.2
46	1981-1990	Kanzler	83.7	0.7	12.2	0.2	35.9	0.7	18.3	0.6	54.2	0.9	2	1.8	0	3.4	0	17.4	0.3	13.3	0.4	0.8	0	4.4	0.1	13.2	0.4
47	1981-1990	Ares	78.5	0.8	11.3	0.2	34	0.8	18.1	0.5	52.1	0.3	1.9	3	0	3.6	0	16	0.4	11.3	0.3	0.6	0	4.5	0.1	13	0.4
48	1981-1990	Rektor	71.8	2.4	13	0.3	25.3	0.3	16.3	0.2	41.6	0.2	1.6	1.2	0	1.8	0	12.3	0.1	10	0.2	0.6	0	3.1	0.1	12.6	0.1
49	1981-1990	Okapi	67.9	0.1	11	0.1	26.7	0.4	15.8	0.4	42.5	0.5	1.7	1.1	0	2.4	0	13	0.2	10.2	0.2	0.5	0	3.6	0.1	11.6	0.3
50	1981-1990	Miras	91.8	1	14.3	0.2	39.2	0.3	21.6	0.2	60.8	0.2	1.8	2	0	3.6	0	18.6	0.2	15.1	0.3	0.7	0	5.7	0.1	15.2	0.1
51	1991-2000	Ritmo	76.4	1.1	14.2	0.5	43.7	1	14.8	0.9	49.5	0.2	2.3	2.1	0.2	3.3	0.2	17.3	0.5	12	0.2	0.7	0	3.7	0.2	10.5	0.7
52	1991-2000	Zentos	64.8	0.4	13.5	0.5	21.7	0.7	13.4	0.4	35.1	0.3	1.6	0.8	0	1.7	0	10.8	0.3	8.3	0.3	0.5	0	3.4	0.1	9.4	0.3
53	1991-2000	Astron	70.2	0.1	12.4	0.3	26	0.8	19.6	0.4	45.6	1.1	1.3	1.4	0	1.9	0	12.5	0.4	10.3	0.3	0.6	0	4.6	0.1	14.5	0.3
54	1991-2000	Borenos	80.1	1.7	14.4	0.4	32	0.6	18.1	0.6	50.1	0.2	1.8	1	0	3.1	0	14.8	0.3	13.1	0.3	0.4	0	4.6	0.1	13.1	0.5
55	1991-2000	Orestis	79.4	0.7	14.6	0.3	31.2	0.3	15.4	0.2	46.5	0.4	2	1.5	0	2.6	0	15.3	0.1	11.7	0.1	0.6	0	3.8	0.1	11	0.1
56	2001-2010	Akteur	94.5	0.6	12.7	0.3	26.6	0.1	18.4	0.4	45	0.3	1.4	1.5	0	2.2	0.2	13.4	0.4	9.6	0.7	0.6	0	4.5	0.1	13.3	0.3
57	2001-2010	Cubus	65.8	1.6	13.2	0.9	21.5	0.7	14.2	0.5	35.7	1.2	0.9	0.9	0	2.1	0	9.7	0.1	9.2	0.2	0.6	0	3.2	0.1	10.4	0.4
58	2001-2010	Dekan	88.9	0.4	13.8	0.4	36.9	0.5	20.5	0.4	57.4	0.5	1.8	2.3	0	3	0	18.4	0.3	13.2	0.2	0.9	0	5.1	0.1	14.5	0.3
59	2001-2010	Drifter	104.3	0.7	17.3	0.4	44.9	0.4	23.1	0.4	68	0.7	1.9	1.9	0	7.4	0	19.6	0.2	16	0.2	0.7	0	7.4	0.1	15	0.3
60	2001-2010	Tommi	100.1	2.4	15.4	0.3	42.8	0.1	22.2	0.9	65.1	1	1.9	2.9	0	4	0	20.9	0.1	15.1	0.1	0.9	0	5.8	0.2	15.6	0.7
