Sample	Decade	Wheat cultivar	Crude_protein_mg_g	Crude_protein_mg_g.var	Albumins-globulins_mg_g	Albumins-globulins_mg_g.var	Gliadins_mg_g	Gliadins_mg_g.var	Glutenins_mg_g	Glutenins_mg_g.var	Gluten_mg_g	Gluten_mg_g.var	Gliadin_Glutenin_ratio	omega5-gliadins	omega5-gliadins.var	omega1-2-gliadins	omega1-2-gliadins.var	alpha-gliadins	alpha-gliadins.var	gamma-gliadins_mg_g	gamma-gliadins_mg_g.var	omega-b-gliadins_mg_g	omega-b-gliadins_mg_g.var	HMW-GS	HMW-GS.var	LMW-GS	LMW-GS.var
39	1961-1970	Poros	81	0	14.5	0.5	42.1	1.4	16.3	0.6	58.5	1.6	2.6	1.3	0	3.4	0.1	19.7	0.9	17.7	0.4	0.4	0	4	0.2	11.9	0.4
40	1961-1970	Pilot	60.8	0.8	12	0.3	29	0.4	12.9	0.8	41.9	1.1	2.3	1.1	0	2.6	0	13.7	0.3	11.7	0.1	0.4	0	3.1	0.2	9.3	0.5
41	1971-1980	Caribo	65.6	0.1	11.8	0	31.4	2.1	17	0.4	48.3	2	1.8	1.2	0.1	3	0	15	1.7	12.1	0.3	0.6	0	3.9	0.1	12.5	0.3
42	1971-1980	Diplomat	66.9	0.6	11.9	0.3	33	0.8	16.6	0.5	49.6	0.9	2	1.8	0	3.6	0.1	14.2	0.5	13.4	0.2	0.7	0	4.2	0.1	11.7	0.4
43	1971-1980	Kormoran	59.8	0.1	11.9	0.2	25.9	0.3	14.8	0.7	40.6	0.8	1.8	1.2	0	2.7	0	11.7	0.2	10.3	0.1	0.5	0	3.2	0.2	11	0.5
44	1971-1980	Alcedo	78.2	0	13.8	0.8	41.6	3	23.3	0.5	54.9	3.2	3.1	1.6	0	4.1	0.3	18.8	1.4	17.1	1.2	0.5	0	3	0.3	9.8	0.2
45	1971-1980	Vuka	87.6	1	12.9	0.2	27	0.8	17.6	0.2	44.6	0.6	1.5	1.1	0	2	0	13.4	0.5	10.4	0.3	0.7	0	3.9	0.2	13	0.1
46	1981-1990	Kanzler	65.8	0.2	11.2	0.8	32.9	0.6	17.7	0	50.5	0.6	1.9	1.3	0	2.8	0	16.5	0.3	12.3	0.2	0.6	0	4.2	0.1	12.8	0.1
47	1981-1990	Ares	74.1	0.1	11.3	0.5	38.3	1.2	18.5	1	56.8	1.7	2.1	3.1	0	4.2	0.2	18.7	0.5	12.2	0.5	0.8	0	4.4	0.3	13.4	0.7
48	1981-1990	Rektor	105.1	0.5	13.5	0.5	56.1	3.4	27.4	1.5	83.5	1.9	2	3	0.1	4.7	0.3	27.5	1.8	20.9	1.5	1	0.1	6.1	0.2	20.3	1.2
49	1981-1990	Okapi	65.6	0.1	11.6	0.3	36.1	1.9	16.4	0.5	52.5	1.7	2.2	1.3	0	3	0.1	17.6	1	14.2	0.8	0.5	0	3.7	0.1	12.2	0.4
50	1981-1990	Miras	73.9	0.2	11.4	0.9	37.7	0.9	17.8	0.6	55.4	1	2.1	1.4	0	3.2	0.3	17.9	0.7	15.2	0.4	0.6	0	4.4	0.1	12.8	0.5
51	1991-2000	Ritmo	60.6	0.1	10.4	0.4	31.3	1.9	12.6	0.2	43.9	1.7	2.5	1.5	0	3.1	0.1	15.1	1	11.6	0.6	0.6	0	2.8	0.1	9.2	0.2
52	1991-2000	Zentos	63.7	0.1	12.5	0.7	27.5	1.6	14.1	0.8	41.6	0.9	2	1	0	2.4	0.1	13.6	1	10.6	0.4	0.5	0	3.3	0.1	10.3	0.6
53	1991-2000	Astron	73.3	1.5	11.7	0.3	38.4	1.6	19.8	0.3	58.2	1.7	2	1.9	0	3.3	0	19.1	0.7	14.1	0.9	0.7	0	4.5	0.1	14.6	0.3
54	1991-2000	Borenos	81	0.8	14.4	0.2	41.2	0.7	17.7	0.5	58.9	0.8	2.3	1.3	0	4.3	0	19.6	0.1	16.1	0.7	0.5	0	4.7	0.2	12.5	0.4
55	1991-2000	Orestis	77	1.5	14.3	1	35.5	1	17.5	1.2	52.9	2.2	2	1.7	0	3.5	0.2	17	1.5	13.3	0.8	1.7	0	4.2	0.1	12.6	1.1
56	2001-2010	Akteur	65.1	0.1	10.8	0.5	21.7	1.1	17.3	0.8	39	0.4	1.3	1.1	0	2	0.1	11	0.7	7.7	0.3	0.6	0	3.9	0.1	12.7	0.7
57	2001-2010	Cubus	68.3	0.1	11.5	0.5	25.2	0.7	16.7	0.1	41.9	0.7	1.5	1.2	0	2.2	0	11.5	0.3	10.4	0.3	0.6	0	3.9	0.1	12.2	0.1
58	2001-2010	Dekan	70.4	0.1	11.5	0.5	26	0.7	18.2	0.9	44.2	0.2	1.4	1.6	0	2.3	0.1	13.5	0.3	8.8	0.2	0.8	0	4.7	0.2	12.7	0.7
59	2001-2010	Drifter	94.6	0.1	14.2	0.4	39.1	3	20.1	1.1	60.1	4	1.9	1.9	0.2	3.6	0.3	20.2	1.5	13.4	1	0.6	0	6.4	0.2	14	0.8
60	2001-2010	Tommi	75	0	12.3	0.5	31.4	2	17.6	0.4	48.9	2	1.8	1.7	0	3.7	0.3	14.2	0.5	11.8	1.2	0.7	0	4.3	0.1	12.6	0.3
